Project Name,Type,Sector,Sub-Sector,Location,Project Authority,Status,Total Project Cost (in Rs Crore),Date Of Award
"""DCFOMT"" of a Regional Municipal Solid Waste to Energy & Land fill facility at Patna in Bihar",Government Infrastructure Projects (PPP),Energy,Renewable energy (grid),Bihar,Bihar Urban Infrastructure Development Corporation Limited,Under Construction,15.00,18-Dec-2014
Development of a Municipal Solid Waste Management Facity for treating MSW collected from Cuttack,Government Infrastructure Projects (PPP),Water Sanitation,Solid waste management,Odisha,Cuttack Municipal Corporation,Under Construction,200.00,29-May-2014
Four laning of Sambalpur - Rourkela section of SH-10 from km 4.900 to to km 167.900 (Rourkela) under DBFOT,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Odisha,"Public Works Department, Odisha",Under Construction,"1,564.94",08-Nov-2013
"O & M of Rajiv Gandhi Container Terminal & Development, Operation of International Container Terminal",Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Kerala,Cochin Port Trust,Operation and Maintenance Stage,"2,118.00",31-Jan-2005
20 MW Power Station at BambooFlat-Port Blair,Government Infrastructure Projects (PPP),Energy,Electricity generation (grid),Andaman & Nicobar Islands (UT),Andaman and Nicobar Administration,Operation and Maintenance Stage,77.64,19-Nov-1997
"4 laning of Tirupati-Tirupati-Chennai section of NH205,Andhra Pradesh and Tamil Nadu(DBFOT) toll basis",Government Infrastructure Projects (PPP),Transport,Roads and bridges,Multi State/ Centre,National Highways Authority of India (NHAI),Under Construction,571.00,12-Jul-2010
"Construction and Operation of Two Multipurpose Bulk Cargo Berths (5A & 6A) at the Port of Mormugao, Goa",Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Goa,Mormugao Port Trust,Operation and Maintenance Stage,250.00,04-Nov-1999
Operation and Maintenance of 50 Skill Development Training Centres in 14 districts of Assam,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Education,Assam,"Directorate of Welfare of Tea and Ex-Tea Garden Tribes, Assam",Not Available,Not Available,19-Sep-2012
"Operation and Maintenance of North East Tribal Museum and Cultural Centre at Nazirakhat, Sonapur, Kamrup (M), Assam",Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Tourism,Assam,"Cultural Affairs Department, Government of Assam",Under Construction,50.00,21-Oct-2014
The Project of LNG Port & Terminal Facility in the Puthuvypeen sea at Cochin Port,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Kerala,Cochin Port Trust,Operation and Maintenance Stage,"4,150.00",12-Mar-2009
"Upgradation of Jetpur-Gondal sec.of 2-4 lane, Gondal Rajkot bypass 2 to 4 lane(NH8B)Gujarat BOT basis",Government Infrastructure Projects (PPP),Transport,Roads and bridges,Gujarat,National Highways Authority of India (NHAI),Operation and Maintenance Stage,388.00,Not Available
"""DEFC"" O&T of Trichy-Karur section(excluding Lalapet ROB) Tamil Nadu under NHDP phase IIIA on (BOT) basis",Government Infrastructure Projects (PPP),Transport,Roads and bridges,Tamil Nadu,National Highways Authority of India (NHAI),Under Construction,516.00,19-Jul-2007
"""DEFC""O&M of Chattisgarh Maharashtra border- Waiganga bridge sec.NH6 Maharashtra NHDP 3A on(BOT) basis",Government Infrastructure Projects (PPP),Transport,Roads and bridges,Maharashtra,National Highways Authority of India (NHAI),Operation and Maintenance Stage,535.00,18-Sep-2007
"4 laning of Belgaum-Khanapur sec.& 2 laning, Khanapur-Karnataka /Goa border sec. NH-4A Karnataka, NHDP III",Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,National Highways Authority of India (NHAI),Under Construction,359.00,30-Sep-2010
4-laning of Amravati-Chikhli (Package-I) sec. of NH-6 Maharashtra on BOT (Toll) on DBFOT pattern under NHDP Ph-4,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Maharashtra,National Highways Authority of India (NHAI),Under Construction,"2,288.18",31-Jul-2015
4-laning of Fange-MAH/Guj Border(Package-III) sec. of NH-6 Mah.to be executed as BOT (Toll)basis on DBFOT pattern NHDP Ph-4,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Maharashtra,National Highways Authority of India (NHAI),Under Construction,"1,885.74",31-Jul-2015
4-laning of Jorbat-Shillong ( Barapani ) sec.of NH40 Assam and Meghalaya on DBFOT SARDP-NE on BOT (Annuity) basis,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Meghalaya,National Highways Authority of India (NHAI),Under Construction,536.00,Not Available
4-laning of Ludhiana to Talwandi section of NH-95 Punjab to be executed on BOT (Toll) on DBFOT basis under NHDP Ph-3,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Punjab,National Highways Authority of India (NHAI),Under Construction,479.00,20-Jan-2011
6 laning of Ahmedabad to Vadodara sec.of NH-8 Gujarat and impvt. of existing Expressway under NHDP ph-5 on(DBFOT)Toll basis.,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Gujarat,National Highways Authority of India (NHAI),Operation and Maintenance Stage,"4,880.00",25-Jul-2011
6 lanning of Hosur-Krishnagiri section of NH7 Tamil Nadu under NHDP Phase V as BOT (toll) on DBFO pattern,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Tamil Nadu,National Highways Authority of India (NHAI),Operation and Maintenance Stage,535.00,13-May-2010
6-laning of Chilkaluripet-Vijaywada section of NH5 Andhra Pradesh to be executed as BOT (toll) on DBFO NHDP-5,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Andhra Pradesh,National Highways Authority of India (NHAI),Operation and Maintenance Stage,572.30,Not Available
